date,factory,product_line,units_produced,shift
2023-03-31,Factory E,Commercial-Pro,92.0,
2023-03-13,Factory C,PW-4000,156.0,Morning
2023-12-18,Factory A,Industrial-X,125.0,Morning
2022-12-08,Factory E,PW-3000,249.0,Morning
2022-06-12,Factory E,PW-4000,102.0,Morning
2022-06-04,Factory E,,123.0,Morning
2022-02-18,Factory C,Commercial-Pro,303.0,Night
2022-09-29,Factory E,Commercial-Pro,249.0,Morning
2022-05-14,Factory A,Commercial-Pro,292.0,Night
2022-07-07,Factory D,PW-4000,133.0,Afternoon
2023-04-10,Factory C,Industrial-X,155.0,Morning
2022-05-17,Factory D,PW-2000,94.0,Afternoon
2023-11-22,Factory D,PW-2000,124.0,Morning
2023-08-29,Factory B,PW-3000,262.0,
2022-07-23,Factory E,PW-2000,103.0,Morning
2022-11-19,Factory C,PW-2000,337.0,Night
2023-06-02,Factory D,PW-2000,69.0,Afternoon
,Factory B,Industrial-X,384.0,Afternoon
2022-04-19,Factory B,PW-2000,138.0,Morning
2023-04-22,Factory A,PW-4000,120.0,Afternoon
2023-02-13,Factory A,PW-3000,173.0,Morning
2022-10-11,Factory C,PW-3000,328.0,
2022-06-20,Factory E,,130.0,Afternoon
2023-05-03,Factory A,Commercial-Pro,374.0,Night
2022-02-10,Factory B,PW-4000,359.0,Morning
2022-01-18,Factory C,PW-4000,369.0,Afternoon
2023-07-25,Factory A,Industrial-X,288.0,Morning
2022-07-04,Factory D,PW-3000,44.0,Morning
2022-08-05,Factory C,Industrial-X,247.0,Night
2023-09-03,Factory E,PW-2000,168.0,Night
,Factory B,PW-3000,190.0,Morning
2022-03-21,Factory B,PW-2000,214.0,Night
2022-03-02,Factory D,Commercial-Pro,94.0,Night
2023-02-26,Factory A,Industrial-X,141.0,Night
2022-06-13,Factory C,Commercial-Pro,177.0,
2023-01-26,Factory B,PW-4000,398.0,Morning
2022-07-02,Factory E,PW-2000,166.0,
2023-06-04,Factory D,Industrial-X,86.0,Morning
2023-05-06,Factory E,Industrial-X,272.0,Morning
2023-05-11,Factory A,Industrial-X,276.0,Night
2022-11-11,Factory E,Industrial-X,267.0,Afternoon
2022-01-13,Factory B,Industrial-X,162.0,Morning
2023-07-19,Factory D,Commercial-Pro,80.0,Afternoon
2022-12-08,Factory C,Commercial-Pro,357.0,
2023-11-04,Factory B,PW-2000,249.0,Night
2023-09-11,Factory B,PW-4000,125.0,Morning
2023-09-18,Factory C,Industrial-X,300.0,Night
2023-01-18,Factory E,Commercial-Pro,84.0,Night
2023-06-18,Factory A,PW-3000,218.0,
2023-05-05,Factory D,Industrial-X,54.0,Morning
2022-07-12,Factory E,PW-4000,221.0,Afternoon
2023-04-26,Factory B,PW-3000,276.0,Afternoon
2023-06-11,Factory B,PW-3000,194.0,
2022-04-27,Factory E,PW-4000,280.0,Night
2023-05-20,Factory C,PW-3000,380.0,Morning
2023-09-04,Factory A,PW-4000,348.0,Night
2023-07-29,Factory C,PW-3000,375.0,Morning
2022-03-27,Factory E,Commercial-Pro,154.0,Afternoon
2022-03-10,Factory D,PW-3000,164.0,Night
2022-03-01,Factory C,Industrial-X,111.0,Afternoon
2023-11-11,Factory E,PW-4000,242.0,Afternoon
2023-04-24,Factory C,Industrial-X,376.0,
2022-01-10,Factory C,Commercial-Pro,177.0,Morning
2023-03-11,Factory D,PW-4000,151.0,
2022-09-11,Factory D,PW-3000,42.0,Afternoon
2022-05-22,Factory D,PW-3000,147.0,Night
2022-02-13,Factory E,PW-3000,167.0,Night
2023-03-19,Factory A,PW-2000,149.0,Morning
2022-06-19,Factory D,Industrial-X,139.0,
2023-05-29,Factory E,PW-2000,267.0,Night
2022-02-18,Factory E,PW-3000,130.0,Morning
2022-08-05,Factory C,,119.0,Morning
2023-02-06,Factory D,PW-4000,63.0,Afternoon
2022-01-24,Factory B,Commercial-Pro,206.0,Morning
2022-10-05,Factory A,PW-4000,277.0,Night
2023-06-18,Factory C,,330.0,Afternoon
2022-08-30,Factory A,Commercial-Pro,215.0,
2022-03-02,Factory A,PW-4000,240.0,Night
,Factory D,Industrial-X,72.0,
,Factory D,Commercial-Pro,76.0,Night
2022-03-27,Factory B,Industrial-X,267.0,Morning
2022-10-07,Factory B,PW-2000,146.0,Night
2022-12-13,Factory D,Commercial-Pro,180.0,Night
2022-12-20,Factory A,Industrial-X,260.0,Morning
2022-03-27,Factory A,PW-2000,265.0,Morning
2023-08-18,Factory C,PW-2000,148.0,Afternoon
2022-03-24,Factory B,Commercial-Pro,248.0,Night
2023-10-08,Factory A,PW-4000,102.0,Night
2022-10-25,Factory B,PW-4000,120.0,Night
2023-03-05,Factory B,PW-3000,192.0,Night
2022-08-05,Factory B,PW-3000,111.0,Night
2022-05-23,Factory E,Commercial-Pro,192.0,
2023-05-05,Factory D,PW-3000,176.0,Afternoon
2022-01-13,Factory E,,149.0,Morning
2022-08-08,Factory D,PW-2000,165.0,Morning
2022-04-06,Factory E,PW-2000,276.0,Morning
2023-02-13,Factory C,PW-4000,166.0,Morning
2022-02-22,Factory C,Industrial-X,247.0,Night
2023-08-19,Factory B,Commercial-Pro,344.0,Morning
2022-11-09,Factory D,Commercial-Pro,82.0,Afternoon
2022-04-30,Factory B,PW-3000,121.0,Night
2022-08-24,Factory B,PW-2000,193.0,Morning
2023-07-20,Factory A,PW-4000,242.0,Afternoon
2022-05-07,Factory B,PW-3000,385.0,Morning
2023-03-02,Factory B,PW-2000,377.0,Morning
2022-08-11,Factory E,PW-3000,265.0,Morning
2023-05-31,Factory A,PW-3000,213.0,Morning
2022-04-11,Factory D,PW-3000,116.0,Morning
2023-07-31,Factory C,Commercial-Pro,291.0,Morning
2023-12-31,Factory E,Industrial-X,246.0,Night
2023-09-14,Factory D,PW-4000,157.0,Afternoon
2022-03-12,Factory E,Industrial-X,159.0,Afternoon
2022-08-04,Factory C,PW-3000,373.0,
2022-05-21,Factory E,PW-4000,149.0,Night
2022-04-30,Factory D,PW-2000,62.0,Afternoon
2023-08-07,Factory B,Industrial-X,334.0,
2022-05-31,Factory C,PW-3000,249.0,Night
2023-03-12,Factory A,PW-3000,317.0,
,Factory A,PW-2000,123.0,
2023-10-23,Factory B,PW-3000,103.0,Night
2022-09-02,Factory D,Industrial-X,144.0,Morning
2023-07-25,Factory E,Industrial-X,215.0,Night
2023-03-11,Factory B,Commercial-Pro,125.0,Morning
2022-08-10,Factory E,PW-2000,80.0,Morning
2023-12-09,Factory E,PW-3000,233.0,Morning
2022-12-31,Factory A,Commercial-Pro,185.0,Night
2023-07-18,Factory E,PW-2000,145.0,Night
2023-09-13,Factory B,PW-3000,351.0,Night
2023-10-09,Factory C,Industrial-X,318.0,Night
2023-12-09,Factory C,PW-2000,315.0,Morning
2022-11-13,Factory A,PW-2000,325.0,Afternoon
2022-03-25,Factory B,Industrial-X,314.0,
2023-06-07,Factory C,Commercial-Pro,110.0,Morning
2022-06-25,Factory C,PW-3000,204.0,
2022-02-16,Factory A,PW-2000,395.0,
2022-07-31,Factory D,PW-3000,56.0,
,Factory C,PW-3000,317.0,Morning
2022-10-13,Factory E,PW-3000,92.0,Night
2022-05-20,Factory C,Commercial-Pro,253.0,
2022-05-14,Factory A,PW-3000,197.0,Night
2023-05-03,Factory D,PW-4000,156.0,Morning
2022-07-22,Factory E,Industrial-X,261.0,Morning
2022-09-05,Factory E,PW-4000,297.0,
2022-07-08,Factory E,PW-3000,80.0,Night
2022-01-13,Factory C,Commercial-Pro,157.0,Morning
2023-01-31,Factory B,PW-4000,292.0,Afternoon
2023-11-28,Factory D,PW-2000,152.0,Night
2023-04-19,Factory B,PW-4000,262.0,Night
2023-05-11,Factory B,PW-4000,243.0,Morning
2022-03-06,Factory A,PW-2000,376.0,Morning
2022-01-13,Factory E,Industrial-X,154.0,
2022-09-15,Factory D,PW-3000,138.0,Afternoon
2022-09-10,Factory C,PW-3000,243.0,Morning
2022-08-18,Factory E,PW-2000,92.0,Afternoon
2023-03-29,Factory A,PW-2000,291.0,Afternoon
2023-03-27,Factory D,PW-3000,40.0,
2022-05-07,Factory A,PW-3000,296.0,
2022-09-09,Factory B,PW-2000,258.0,Morning
2023-04-21,Factory D,PW-2000,126.0,
2022-04-06,Factory E,Commercial-Pro,168.0,Night
2022-12-07,Factory A,PW-2000,172.0,
2022-07-02,Factory D,PW-3000,111.0,Night
2022-12-02,Factory D,PW-4000,46.0,Morning
2023-08-12,Factory A,Industrial-X,239.0,Morning
2022-03-19,Factory D,Industrial-X,43.0,
2023-02-25,Factory D,PW-3000,174.0,Afternoon
2022-07-03,Factory D,PW-3000,110.0,Morning
2023-10-30,Factory A,Commercial-Pro,362.0,Afternoon
2022-06-09,Factory D,PW-3000,95.0,
2022-07-03,Factory E,Commercial-Pro,148.0,Morning
2022-10-30,Factory A,Industrial-X,292.0,Afternoon
2023-07-09,Factory D,Industrial-X,86.0,
2022-12-16,Factory E,Industrial-X,87.0,
2023-12-26,Factory A,Industrial-X,234.0,Afternoon
2023-04-17,Factory C,PW-2000,324.0,Night
2022-02-16,Factory C,,388.0,Afternoon
2022-01-22,Factory A,Commercial-Pro,240.0,Afternoon
2022-07-22,Factory E,PW-3000,281.0,Night
2023-11-20,Factory C,Commercial-Pro,171.0,Morning
2022-12-18,Factory D,PW-2000,83.0,Morning
2022-03-31,Factory B,Commercial-Pro,355.0,Morning
2022-11-15,Factory B,PW-4000,132.0,Night
2023-02-05,Factory B,PW-2000,399.0,Morning
2023-10-07,Factory C,PW-3000,251.0,Morning
2023-03-08,Factory E,PW-2000,132.0,
2022-11-27,Factory A,PW-4000,128.0,Morning
2023-11-22,Factory C,Commercial-Pro,267.0,Afternoon
2023-04-13,Factory D,Commercial-Pro,23.0,Night
2022-04-05,Factory C,Commercial-Pro,389.0,Morning
2023-08-27,Factory D,PW-3000,96.0,
2022-03-06,Factory E,Industrial-X,235.0,Morning
2023-04-03,Factory A,PW-4000,226.0,Night
2022-08-21,Factory A,PW-4000,325.0,
2023-01-25,Factory E,PW-4000,104.0,Night
2022-02-13,Factory A,Industrial-X,225.0,Afternoon
2022-07-16,Factory B,PW-3000,314.0,Morning
2023-05-22,Factory A,Commercial-Pro,108.0,Morning
2022-10-23,Factory D,PW-4000,48.0,Night
2022-11-18,Factory B,Commercial-Pro,392.0,Afternoon
2022-07-27,Factory D,PW-2000,98.0,Morning
2023-07-19,Factory B,PW-4000,376.0,Night
2023-10-04,Factory A,PW-4000,148.0,Night
2023-03-14,Factory B,PW-3000,297.0,Morning
2023-06-08,Factory C,Commercial-Pro,148.0,Morning
2022-07-08,Factory C,PW-3000,257.0,Night
2022-02-23,Factory A,PW-2000,270.0,Morning
2023-08-22,Factory C,Industrial-X,256.0,Morning
2023-07-10,Factory D,Commercial-Pro,167.0,Morning
2022-10-23,Factory D,Commercial-Pro,103.0,Night
2023-09-06,Factory E,PW-4000,221.0,Morning
2023-05-01,Factory E,Industrial-X,88.0,Morning
2022-07-25,Factory E,,282.0,Night
2022-03-12,Factory D,PW-2000,156.0,Afternoon
2022-07-19,Factory D,PW-3000,83.0,Night
2022-04-24,Factory D,Industrial-X,165.0,Morning
2022-06-14,Factory D,PW-2000,103.0,
2022-12-05,Factory D,PW-4000,87.0,Night
2022-02-09,Factory A,PW-3000,164.0,Afternoon
2023-03-29,Factory C,Commercial-Pro,309.0,
2022-08-24,Factory D,PW-4000,169.0,Night
2022-08-15,Factory E,Commercial-Pro,243.0,
2023-03-12,Factory D,PW-3000,89.0,Afternoon
2023-01-07,Factory C,PW-3000,326.0,
2023-09-01,Factory D,Industrial-X,80.0,Afternoon
2022-10-18,Factory E,Industrial-X,234.0,Night
2023-04-16,Factory A,PW-3000,191.0,Morning
2022-05-12,Factory A,Industrial-X,148.0,Afternoon
2022-04-02,Factory C,PW-3000,112.0,
2022-10-29,Factory B,,266.0,Morning
2023-11-22,Factory E,PW-4000,246.0,Night
2023-01-18,Factory E,PW-3000,218.0,Morning
2023-06-12,Factory C,PW-2000,126.0,Night
2023-07-26,Factory D,Commercial-Pro,77.0,Afternoon
2022-08-25,Factory E,,181.0,Afternoon
2023-01-08,Factory D,PW-2000,152.0,Afternoon
2023-04-06,Factory E,PW-2000,261.0,Morning
,Factory C,Commercial-Pro,385.0,Morning
,Factory B,PW-3000,149.0,
2022-02-13,Factory E,Commercial-Pro,235.0,Afternoon
2022-06-01,Factory D,Commercial-Pro,175.0,Afternoon
2022-12-06,Factory D,,141.0,Afternoon
2022-12-08,Factory E,Industrial-X,227.0,Afternoon
2022-08-31,Factory D,PW-3000,46.0,Morning
2023-07-07,Factory C,Commercial-Pro,369.0,
2023-12-14,Factory A,PW-3000,232.0,Morning
2023-12-09,Factory A,Industrial-X,267.0,Afternoon
,Factory C,PW-2000,150.0,Night
2023-11-29,Factory E,Industrial-X,224.0,Morning
2022-06-16,Factory B,PW-3000,302.0,
2022-09-22,Factory E,Commercial-Pro,105.0,
2022-09-25,Factory A,Commercial-Pro,255.0,Morning
2023-02-07,Factory A,PW-3000,294.0,
2023-11-12,Factory E,PW-4000,250.0,Morning
2023-11-10,Factory D,,135.0,Morning
2023-09-17,Factory E,PW-2000,269.0,Afternoon
2023-12-16,Factory B,PW-4000,325.0,Morning
2022-09-29,Factory B,PW-2000,209.0,Morning
,Factory B,PW-4000,307.0,Night
2022-06-24,Factory D,Commercial-Pro,67.0,Morning
2022-07-17,Factory E,PW-4000,287.0,Night
2023-08-24,Factory C,Industrial-X,237.0,Night
2023-07-08,Factory B,PW-3000,351.0,Morning
2023-01-15,Factory C,Industrial-X,286.0,Night
2022-03-19,Factory C,PW-2000,389.0,Night
2023-07-21,Factory D,PW-3000,138.0,Afternoon
2022-09-28,Factory E,PW-4000,231.0,Morning
2023-12-27,Factory E,PW-2000,92.0,Morning
2023-04-03,Factory A,PW-3000,173.0,Morning
2023-09-03,Factory E,PW-2000,206.0,Night
2023-08-14,Factory E,PW-3000,205.0,
2023-05-27,Factory D,PW-3000,42.0,
2023-10-13,Factory A,Industrial-X,283.0,Night
2022-11-06,Factory B,PW-4000,378.0,Morning
2023-02-02,Factory A,PW-3000,306.0,
2023-03-02,Factory B,PW-3000,155.0,Morning
2023-11-08,Factory B,PW-4000,190.0,Night
2022-09-22,Factory A,Industrial-X,159.0,Morning
2023-10-16,Factory E,PW-3000,272.0,Night
2022-04-11,Factory E,PW-3000,255.0,Night
2022-04-15,Factory B,PW-3000,244.0,Afternoon
2022-11-04,Factory D,Commercial-Pro,179.0,Night
2023-03-11,Factory D,PW-3000,21.0,Morning
2023-06-11,Factory C,PW-4000,178.0,Night
2022-03-01,Factory B,PW-4000,292.0,Morning
2023-02-12,Factory A,PW-2000,302.0,Morning
2023-07-25,Factory D,PW-4000,26.0,Morning
2023-11-08,Factory E,PW-4000,80.0,Night
2023-06-16,Factory A,PW-3000,206.0,Night
2023-09-17,Factory E,PW-2000,246.0,Afternoon
2022-08-22,Factory D,Commercial-Pro,124.0,Night
2022-10-24,Factory D,Industrial-X,142.0,Morning
2023-09-21,Factory C,Commercial-Pro,322.0,Night
2023-08-15,Factory A,PW-3000,336.0,Night
2022-10-22,Factory E,Commercial-Pro,148.0,Morning
2022-01-24,Factory E,Industrial-X,167.0,Night
2023-08-01,Factory A,Industrial-X,362.0,Afternoon
2022-03-24,Factory D,Commercial-Pro,152.0,Night
2022-06-16,Factory D,PW-4000,73.0,
2022-11-17,Factory E,PW-3000,110.0,Morning
2023-02-03,Factory C,PW-4000,347.0,Morning
2023-07-19,Factory C,,306.0,Night
2023-10-06,Factory B,PW-3000,262.0,
2023-08-06,Factory E,PW-4000,92.0,Night
2022-01-03,Factory B,PW-3000,396.0,Morning
2022-08-04,Factory B,PW-2000,132.0,Night
2023-03-14,Factory E,PW-4000,235.0,Night
2023-04-11,Factory B,Industrial-X,170.0,Night
2022-02-24,Factory D,PW-4000,80.0,
,Factory D,Industrial-X,156.0,
2022-01-29,Factory E,Industrial-X,175.0,Morning
2023-08-15,Factory B,PW-2000,152.0,Night
2022-06-13,Factory C,PW-4000,143.0,Afternoon
2022-04-01,Factory D,PW-3000,122.0,Night
2022-10-08,Factory E,PW-3000,181.0,
2022-04-15,Factory A,Commercial-Pro,387.0,
,Factory B,Industrial-X,332.0,Afternoon
2022-05-21,Factory C,,135.0,Night
2023-03-30,Factory D,Industrial-X,111.0,Morning
,Factory E,PW-2000,299.0,Morning
2022-09-05,Factory D,Commercial-Pro,52.0,
2022-05-03,Factory D,PW-3000,135.0,
2023-01-05,Factory B,Commercial-Pro,105.0,
2022-04-19,Factory D,PW-3000,47.0,Night
2023-06-16,Factory E,PW-2000,133.0,Night
2023-10-11,Factory B,PW-4000,198.0,Morning
2022-10-26,Factory E,PW-3000,270.0,Morning
2022-07-05,Factory A,Commercial-Pro,112.0,Night
2023-10-30,Factory C,Industrial-X,291.0,Morning
2022-05-24,Factory D,PW-2000,66.0,Afternoon
2023-01-30,Factory A,PW-4000,301.0,Afternoon
2023-06-27,Factory D,PW-4000,30.0,Night
2022-11-30,Factory A,PW-2000,108.0,Night
2022-11-18,Factory C,PW-4000,160.0,Morning
2023-04-17,Factory B,Commercial-Pro,161.0,
2023-01-16,Factory C,PW-2000,184.0,Morning
2022-08-23,Factory D,PW-4000,88.0,Morning
2022-10-24,Factory B,PW-4000,267.0,Morning
,Factory A,PW-3000,164.0,Night
2023-07-18,Factory E,PW-4000,220.0,Morning
2023-02-22,Factory D,PW-3000,31.0,Morning
2022-04-10,Factory B,Commercial-Pro,142.0,Morning
2022-03-16,Factory A,Industrial-X,388.0,Night
,Factory B,Industrial-X,246.0,Morning
2023-01-22,Factory E,Industrial-X,224.0,Morning
2023-12-28,Factory C,PW-4000,133.0,Night
2022-05-30,Factory B,PW-2000,231.0,Morning
2023-07-16,Factory E,PW-4000,203.0,Night
2023-04-15,Factory C,PW-2000,388.0,Night
2023-10-30,Factory A,Commercial-Pro,354.0,Night
2022-11-25,Factory A,Industrial-X,233.0,Night
2023-10-13,Factory C,Industrial-X,288.0,
2023-02-26,Factory A,Industrial-X,255.0,Afternoon
2022-03-02,Factory B,PW-3000,333.0,
2023-02-20,Factory C,Industrial-X,295.0,Morning
2022-08-11,Factory A,PW-4000,327.0,Morning
2022-11-02,Factory E,PW-4000,255.0,Afternoon
2023-05-16,Factory C,PW-3000,244.0,Morning
2023-02-02,Factory B,,231.0,Morning
2023-10-19,Factory E,PW-3000,90.0,Night
2023-11-04,Factory E,PW-3000,107.0,Morning
2022-10-25,Factory D,PW-2000,21.0,Night
2023-05-28,Factory C,PW-3000,223.0,Afternoon
2022-12-22,Factory A,Industrial-X,367.0,Morning
2023-09-06,Factory E,Commercial-Pro,221.0,
2023-09-24,Factory D,Commercial-Pro,24.0,Afternoon
2023-05-05,Factory B,Commercial-Pro,100.0,Morning
2023-01-09,Factory A,Commercial-Pro,143.0,Night
2023-06-21,Factory C,PW-4000,132.0,Night
2022-11-29,Factory E,PW-3000,91.0,
2023-04-01,Factory D,Commercial-Pro,67.0,Night
2023-09-12,Factory E,PW-4000,112.0,Afternoon
2023-04-04,Factory B,PW-3000,246.0,Morning
2023-11-10,Factory B,Commercial-Pro,272.0,Night
2023-03-23,Factory B,PW-3000,242.0,Night
2022-12-30,Factory D,Industrial-X,99.0,
2023-12-20,Factory D,PW-2000,47.0,Afternoon
2023-04-13,Factory E,PW-2000,114.0,Night
2023-03-29,Factory B,Commercial-Pro,350.0,Morning
2023-03-21,Factory C,Commercial-Pro,318.0,Night
2023-06-20,Factory D,Commercial-Pro,176.0,Morning
2022-11-13,Factory A,PW-2000,221.0,Morning
2022-07-25,Factory B,,238.0,Morning
2022-06-14,Factory B,PW-3000,356.0,Night
2022-11-24,Factory D,PW-4000,112.0,Afternoon
2022-09-22,Factory A,PW-3000,186.0,Night
2023-06-20,Factory B,PW-4000,204.0,
2023-08-04,Factory D,PW-3000,170.0,Morning
2023-06-19,Factory C,PW-2000,393.0,Afternoon
2022-07-01,Factory E,PW-2000,184.0,Afternoon
2023-05-18,Factory D,Commercial-Pro,30.0,Afternoon
2022-04-25,Factory C,PW-3000,172.0,Morning
2023-09-05,Factory E,PW-3000,282.0,Afternoon
2023-05-30,Factory E,PW-3000,112.0,Afternoon
2023-08-31,Factory A,PW-4000,338.0,Morning
2023-05-15,Factory C,Commercial-Pro,328.0,Morning
2022-03-03,Factory E,,81.0,Night
2023-02-01,Factory C,PW-2000,115.0,Afternoon
2023-04-26,Factory E,PW-4000,146.0,
2023-09-08,Factory C,PW-3000,167.0,Afternoon
2022-09-09,Factory B,Industrial-X,332.0,Morning
2023-05-03,Factory A,PW-3000,391.0,Morning
2022-05-11,Factory E,Commercial-Pro,286.0,
2023-08-08,Factory E,Commercial-Pro,152.0,Morning
2023-04-19,Factory E,Commercial-Pro,252.0,Morning
2023-09-04,Factory B,Industrial-X,362.0,Afternoon
2022-11-11,Factory B,PW-4000,141.0,Morning
2022-06-01,Factory C,PW-3000,400.0,
2022-12-13,Factory B,Commercial-Pro,222.0,
2022-03-04,Factory A,PW-2000,381.0,Morning
2023-12-17,Factory B,,365.0,Afternoon
2022-04-05,Factory D,,175.0,
2023-12-02,Factory A,PW-4000,345.0,Morning
2022-12-20,Factory C,PW-4000,279.0,Morning
2022-03-30,Factory D,PW-4000,43.0,Morning
2023-07-09,Factory D,PW-4000,66.0,Night
2022-11-05,Factory A,PW-4000,146.0,
2022-10-13,Factory B,Industrial-X,397.0,Morning
2022-05-20,Factory E,PW-4000,108.0,Night
2023-08-20,Factory A,Commercial-Pro,217.0,Morning
2022-04-12,Factory B,PW-4000,369.0,Morning
2023-07-09,Factory D,PW-2000,30.0,Morning
2023-05-09,Factory A,PW-3000,177.0,Morning
,Factory C,Commercial-Pro,133.0,Afternoon
2022-07-19,Factory A,Commercial-Pro,285.0,Afternoon
2023-06-16,Factory A,PW-4000,234.0,Morning
2022-07-29,Factory E,PW-3000,262.0,Morning
2022-03-04,Factory E,Commercial-Pro,136.0,Night
2023-06-07,Factory E,,273.0,Morning
2022-02-05,Factory B,Industrial-X,149.0,
2023-07-13,Factory D,PW-4000,85.0,Morning
2023-11-21,Factory C,PW-3000,100.0,Afternoon
2023-05-31,Factory E,PW-3000,299.0,Morning
2023-04-22,Factory C,PW-3000,131.0,Afternoon
2022-09-11,Factory D,PW-2000,65.0,Morning
2023-03-25,Factory D,,22.0,Afternoon
2023-08-01,Factory B,PW-2000,180.0,Morning
2022-06-09,Factory B,PW-4000,397.0,Afternoon
2022-10-19,Factory A,PW-4000,366.0,Morning
2022-03-11,Factory D,Commercial-Pro,128.0,Night
2022-07-08,Factory C,Industrial-X,386.0,Morning
2022-11-30,Factory D,PW-3000,116.0,
2023-02-21,Factory C,,252.0,Afternoon
2022-01-03,Factory E,Industrial-X,163.0,Afternoon
2022-11-28,Factory E,PW-3000,250.0,Afternoon
2023-12-02,Factory E,PW-3000,206.0,Morning
2022-01-29,Factory A,PW-4000,152.0,Night
2022-09-15,Factory E,PW-3000,156.0,Morning
2023-02-03,Factory C,Commercial-Pro,316.0,Afternoon
2022-09-29,Factory A,PW-2000,347.0,Night
2023-02-04,Factory E,PW-3000,145.0,Afternoon
2023-02-11,Factory B,PW-2000,228.0,Morning
2022-03-07,Factory B,PW-2000,270.0,Morning
2023-04-26,Factory D,PW-2000,54.0,Morning
2022-07-04,Factory A,PW-3000,188.0,Morning
2022-11-25,Factory C,Industrial-X,233.0,Night
2022-12-23,Factory E,Commercial-Pro,162.0,Morning
2023-08-19,Factory C,PW-2000,288.0,Night
2022-04-22,Factory D,PW-4000,83.0,Morning
2023-03-23,Factory D,PW-2000,24.0,Morning
2022-12-04,Factory A,Industrial-X,263.0,Night
2023-03-05,Factory C,PW-4000,123.0,Morning
2023-03-15,Factory A,Commercial-Pro,380.0,Morning
2022-08-01,Factory C,PW-3000,199.0,Morning
2023-03-04,Factory E,PW-4000,111.0,Afternoon
2023-04-07,Factory B,Commercial-Pro,242.0,Night
2022-07-07,Factory B,PW-3000,230.0,Morning
2023-05-22,Factory A,PW-4000,293.0,Night
2023-07-16,Factory C,PW-2000,196.0,Night
2023-01-23,Factory A,PW-4000,120.0,Afternoon
2023-01-24,Factory B,PW-3000,391.0,Morning
2022-10-01,Factory D,PW-2000,35.0,Morning
2023-01-02,Factory A,Commercial-Pro,197.0,Morning
2023-05-12,Factory B,PW-2000,335.0,Morning
2022-11-04,Factory A,PW-3000,221.0,Afternoon
2022-12-17,Factory D,PW-4000,95.0,Afternoon
2022-05-26,Factory E,PW-2000,266.0,Afternoon
2022-02-28,Factory E,,281.0,Night
2022-11-19,Factory E,PW-3000,293.0,Morning
2022-04-26,Factory B,PW-3000,116.0,Night
2022-01-20,Factory A,PW-2000,359.0,Night
2022-03-29,Factory B,Commercial-Pro,253.0,Afternoon
2023-01-29,Factory D,PW-3000,163.0,Night
2023-11-16,Factory C,Industrial-X,366.0,Night
2023-06-16,Factory A,Industrial-X,326.0,Morning
2023-05-04,Factory D,PW-3000,127.0,Night
2023-03-09,Factory D,Industrial-X,84.0,Night
2022-08-08,Factory E,PW-3000,288.0,Afternoon
2022-02-11,Factory C,Commercial-Pro,210.0,Night
2023-06-08,Factory A,Industrial-X,211.0,Night
2023-04-20,Factory C,PW-4000,116.0,Afternoon
2023-03-03,Factory C,Industrial-X,284.0,Afternoon
2023-09-14,Factory E,Industrial-X,207.0,Morning
2022-05-05,Factory A,PW-4000,356.0,Night
2023-09-17,Factory C,PW-4000,347.0,
2022-11-22,Factory D,Industrial-X,174.0,Morning
2022-06-10,Factory B,PW-2000,284.0,Night
2022-01-14,Factory D,PW-2000,31.0,Morning
,Factory C,PW-2000,311.0,
2023-09-24,Factory B,Commercial-Pro,236.0,Afternoon
2023-06-03,Factory A,PW-3000,334.0,Night
2022-08-21,Factory E,PW-3000,267.0,Morning
2023-05-17,Factory C,Commercial-Pro,302.0,Night
2023-04-24,Factory E,PW-4000,270.0,Morning
2023-06-03,Factory E,Industrial-X,196.0,Afternoon
2022-02-25,Factory D,PW-3000,115.0,Afternoon
2023-06-17,Factory C,PW-3000,376.0,Night
2022-04-19,Factory E,Commercial-Pro,264.0,Afternoon
2023-10-16,Factory E,PW-2000,227.0,Night
2023-03-11,Factory B,PW-3000,283.0,Morning
2022-10-27,Factory C,Commercial-Pro,225.0,Night
2023-05-24,Factory C,Commercial-Pro,283.0,
2023-12-16,Factory D,Commercial-Pro,130.0,Night
2023-01-15,Factory C,Industrial-X,355.0,Morning
2023-05-29,Factory E,Commercial-Pro,149.0,Morning
2022-10-18,Factory D,PW-2000,162.0,Morning
2022-03-13,Factory B,Industrial-X,155.0,Afternoon
2023-06-19,Factory E,Commercial-Pro,180.0,Morning
2023-07-17,Factory A,Commercial-Pro,204.0,Night
2023-04-09,Factory A,PW-4000,218.0,Morning
2022-02-09,Factory B,Industrial-X,274.0,Morning
2023-07-26,Factory B,PW-4000,342.0,Night
2023-01-15,Factory C,PW-4000,174.0,Morning
2022-10-29,Factory C,PW-4000,248.0,Night
2022-09-25,Factory E,Commercial-Pro,82.0,Morning
2022-08-22,Factory D,Commercial-Pro,177.0,Night
2023-08-27,Factory E,Industrial-X,136.0,Night
2022-06-27,Factory E,PW-4000,125.0,Night
2022-12-19,Factory D,,61.0,Morning
2023-08-06,Factory B,PW-4000,351.0,Morning
2022-06-09,Factory E,Industrial-X,82.0,Afternoon
2022-07-17,Factory D,Commercial-Pro,61.0,Night
2023-10-18,Factory C,Commercial-Pro,110.0,Night
2023-05-18,Factory C,Industrial-X,358.0,Morning
2022-10-05,Factory B,PW-2000,315.0,Night
2022-07-24,Factory C,PW-2000,121.0,Night
,Factory E,Industrial-X,132.0,Morning
2023-09-04,Factory E,PW-2000,262.0,Morning
2023-12-08,Factory E,Industrial-X,280.0,Night
